AD-SaUDA	Universitat_d'Andorra
DE-MUS-167415	Friedrich-Wilhelm-Weber-Museum
DE-MUS-168314	Orgelmuseum
DE-MUS-169015	Westfälisches_Schulmuseum
DE-MUS-169411	Museum_Stadt_Königsberg
DE-MUS-170114	Deutsches_Plakatmuseum
DE-MUS-170718	Stadtmuseum_Gütersloh
DE-MUS-170916	Gustav-Lübcke-Museum
DE-MUS-171013	Stadtmuseum_Hattingen
DE-MUS-173217	Neanderthal_Museum
DE-MUS-173311	Wasser-_und_Schiffahrtsamt
DE-MUS-173811	Bibelmuseum
DE-MUS-173915	Stadtmuseum_Münster
DE-MUS-174012	Westpreussisches_Landesmuseum
DE-MUS-174512	Archäologisches_Freilichtmuseum
DE-MUS-174710	Museum_in_der_Kaiserpfalz
DE-MUS-176216	Märkisches_Museum
DE-MUS-176310	Historisches_Zentrum
DE-MUS-176414	Völkerkundemuseum
DE-MUS-176810	Gerätemuseum_des_Coburger_Landes
DE-MUS-178316	Heimatmuseum_Stadt_und_Landkreis_Neudek
DE-MUS-179111	Deutsches_Knopfmuseum
DE-MUS-179215	Gärtner-_und_Häckermuseum
DE-MUS-180012	Max-Reger-Gedächtniszimmer
DE-MUS-181015	Gemäldegalerie
DE-MUS-181411	Walhalla
DE-MUS-182810	Burg_Falkenberg
DE-MUS-182914	Hermann-Oberth-Raumfahrt-Museum
DE-MUS-184618	Burgmuseum_Grünwald
DE-MUS-185017	Burg_Harburg
DE-MUS-185715	Deutsches_Hirtenmuseum
DE-MUS-186812	Kirchenburgmuseum_Mönchsondheim
DE-MUS-190514	Rieser_Bauernmuseum_Maihingen
DE-MUS-192614	Museum_für_Abgüsse_Klassischer_Bildwerke
DE-MUS-193117	Deutsches_Dampflokomotiv-Museum
DE-MUS-195019	Böhmerwaldmuseum
DE-MUS-195113	Römermuseum_Kastell_Boiotro
DE-MUS-196012	Naturkundemuseum_Ostbayern
DE-MUS-196814	Inn-Museum
DE-MUS-198112	Römermuseum_Bedaium
DE-MUS-199115	Museumsdorf_Bayerischer_Wald
DE-MUS-200111	Stiftlandmuseum
DE-MUS-200319	Museum_im_Malhaus
DE-MUS-201916	Stiftung_Keramion
DE-MUS-202211	Museum_Ludwig
DE-MUS-202315	Burgenmuseum
DE-MUS-203214	Schwarzwälder_Trachtenmuseum
DE-MUS-203516	Burg_Hohenzollern
DE-MUS-204113	Kurpfälzisches_Museum
DE-MUS-206213	Museum_am_Markt
DE-MUS-207018	Weinmuseum
DE-MUS-208115	Deutsches_Goldschmiedehaus
DE-MUS-208313	Altes_Haus
DE-MUS-210311	Hohenloher_Freilandmuseum
DE-MUS-212213	Feuerwehrmuseum_Stuttgart
DE-MUS-214719	Bauernhaus-Museum_Wolfegg
DE-MUS-217718	Kleines_Stuckmuseum
DE-MUS-219318	Freilichtmuseum_Beuren
DE-MUS-221014	Deutsches_Fleischermuseum
DE-MUS-221410	Berthold-Auerbach-Museum
DE-MUS-222611	Heimatmuseum_Neunkirchen
DE-MUS-222819	Odenwälder_Freilandmuseum
DE-MUS-225016	KZ-Gedenkstätte_Neuengamme
DE-MUS-225318	Computermuseum_der_Fachhochschule_Kiel
DE-MUS-225412	Haus_des_Waldes
DE-MUS-226811	Deutsches_Sport_&amp;_Olympia_Museum
DE-MUS-228213	Haus_Lesmona
DE-MUS-228317	Rheinland-Pfälzisches_Freilichtmuseum_Bad_Sobernheim
DE-MUS-228619	Gedenkstätte_Plötzensee
DE-MUS-228911	Schüttesäge-Museum
DE-MUS-229112	Haus_an_der_Redoute
DE-MUS-230419	Kunsthalle_Dominikanerkirche
DE-MUS-231610	Lessinghaus
DE-MUS-232217	Anti-Kriegs-Museum
DE-MUS-233210	Landesarchiv_Berlin
DE-MUS-236011	Feuerwehrmuseum_Berlin
DE-MUS-237212	Eisenbahnmuseum_Neustadt
DE-MUS-237316	Deutsches_Weinbaumuseum
DE-MUS-238319	Brauerei-Museum_Dortmund
DE-MUS-239510	Fränkische_Galerie
DE-MUS-239718	Museum_Burg_Bederkesa
DE-MUS-239916	Wrackmuseum
DE-MUS-241612	Münter-Haus
DE-MUS-242219	Staatsgalerie_Moderne_Kunst
DE-MUS-242417	Deutsches_Pinsel-_und_Bürstenmuseum
DE-MUS-242813	Artothek
DE-MUS-243014	Bremer_Rundfunkmuseum
DE-MUS-243118	Emsland_Moormuseum
DE-MUS-246117	Kloster_Cismar
DE-MUS-246617	Burg_Thurant
DE-MUS-246711	Burg_Trifels
DE-MUS-247610	Sayner_Hütte
DE-MUS-249116	Wiedenbrücker_Schule_Museum
DE-MUS-249210	Stadtmuseum_Brilon
DE-MUS-249314	Tüshaus-Mühle
DE-MUS-250611	Reichsburg_Cochem
DE-MUS-251114	Burg_Berwartstein
DE-MUS-252711	Jüdisches_Kulturmuseum_Augsburg-Schwaben
DE-MUS-252815	Schwäbisches_Handwerkermuseum
DE-MUS-252919	Fränkisches_Brauereimuseum
DE-MUS-253516	Käthe-Kollwitz-Museum
DE-MUS-253714	Museum_für_Neue_Kunst
DE-MUS-254415	Schwäbisches_Bauern-_und_Technikmuseum
DE-MUS-255710	Norddeutsches_Spielzeugmuseum
DE-MUS-255814	Museum_gegenstandsfreier_Kunst
DE-MUS-256119	Moormuseum_Moordorf
DE-MUS-256713	Museum_Villa_Stahmer
DE-MUS-257216	Europäisches_Spargelmuseum
DE-MUS-257414	Städtische_Galerie_im_Park_Viersen
DE-MUS-257518	Oberschlesisches_Landesmuseum
DE-MUS-257810	Kunsthalle_Emden
DE-MUS-258417	Ballonmuseum_Gersthofen
DE-MUS-259816	Franz_Marc_Museum
DE-MUS-260613	Industriemuseum_Lauf
DE-MUS-263716	Wittelsbachermuseum_Aichach
DE-MUS-264417	Dommuseum
DE-MUS-265014	Frankfurter_Feldbahnmuseum
DE-MUS-265316	Gedenkstätte_Hadamar
DE-MUS-265618	Fastnachtsmuseum
DE-MUS-267010	Regionalmuseum
DE-MUS-267718	Reichskammergerichtsmuseum
DE-MUS-268617	Zisterzienserkloster
DE-MUS-270115	Selfkantbahn
DE-MUS-270219	Mineralienmuseum
DE-MUS-270417	Alte_Synagoge
DE-MUS-270511	Markt-_und_Schaustellermuseum
DE-MUS-271014	Bergische_Museumsbahnen
DE-MUS-271212	Stiftung_Insel_Hombroich
DE-MUS-272517	Heimatmuseum_Beuel
DE-MUS-274419	Deutsches_Panzermuseum_Munster
DE-MUS-274617	Zentrum_für_Biodokumentation
DE-MUS-275016	Alstertalmuseum
DE-MUS-275412	Werkbundarchiv_-_Museum_der_Dinge
DE-MUS-276311	Terra_Sigillata_Museum
DE-MUS-276613	Burg_Rheinstein
DE-MUS-277314	Haus_Mecklenburg
DE-MUS-284817	Kloster_Isenhagen
DE-MUS-289312	Muschelkalkmuseum
DE-MUS-291112	Puppenmuseum_Falkenstein
DE-MUS-291216	Museumshafen_Oevelgönne
DE-MUS-292511	Adolf-Bender-Zentrum
DE-MUS-292615	Historisches_Museum_Saar
DE-MUS-292917	Museum_Pachten
DE-MUS-293316	Städtische_Galerie_Neunkirchen
DE-MUS-294819	MuseumsQuartier
DE-MUS-295312	Bezirksmuseum_Dachau
DE-MUS-296617	Stadtmuseum_Hagen
DE-MUS-297610	Museum_für_Kutschen,_Chaisen,_Karren
DE-MUS-303111	Automuseum_Dr._Carl_Benz
DE-MUS-303715	Pfahlheimer_Bauernstube
DE-MUS-304614	Automobilmuseum
DE-MUS-304718	Museum_der_Göttinger_Chemie
DE-MUS-308814	Schwarzwälder_Pilzlehrschau
DE-MUS-308918	Römische_Kalkbrennerei_Iversheim
DE-MUS-309713	Brechthaus
DE-MUS-310416	Burg_Arras
DE-MUS-312318	Haus_der_Badisch-Pfälzischen_Fasnacht
DE-MUS-313019	Heimatmuseum_Aschen
DE-MUS-313811	Abtei_Rommersdorf
DE-MUS-313915	Burg_Sooneck
DE-MUS-315713	Jüdisches_Museum_München
DE-MUS-315911	Franck-Haus
DE-MUS-316810	Geologisches_Museum
DE-MUS-319517	Deutsches_Historisches_Museum
DE-MUS-319611	Haus_der_Geschichte_der_Bundesrepublik_Deutschland
DE-MUS-319715	Schwäbisches_Krippenmuseum
DE-MUS-319819	Bergbaumuseum_des_Kreises_Altenkirchen
DE-MUS-320418	Deutsches_Zeitungsmuseum
DE-MUS-320616	Archäologisches_Museum_Bad_Königshofen_im_Grabfeld
DE-MUS-321015	Museum_Haus_Ludwig
DE-MUS-321119	Vitra_Design_Museum
DE-MUS-321213	Pfefferminzmuseum
DE-MUS-322518	Hermann-Hesse-Höri-Museum
DE-MUS-322612	Deutsches_Kaltwalzmuseum
DE-MUS-323011	Holzknechtmuseum_Ruhpolding
DE-MUS-323615	Freilichtmuseum_Neuhausen_ob_Eck
DE-MUS-328714	Schubartstube
DE-MUS-329311	Hermann-Hesse-Museum
DE-MUS-330410	Bauernmuseum_Richen
DE-MUS-335019	Kloster_Schöntal
DE-MUS-337713	Museum_Mensch_und_Natur
DE-MUS-338414	Cap_San_Diego
DE-MUS-338914	Orgelmuseum_Fleiter
DE-MUS-340016	Stadtmuseum_Hofheim_am_Taunus
DE-MUS-341311	Kloster_Medingen
DE-MUS-341915	Museum_für_Photographie
DE-MUS-344914	Haidhausen-Museum
DE-MUS-346712	Natureum_Niederelbe
DE-MUS-347319	Stift_Fischbeck
DE-MUS-348718	Feuerwehrmuseum_Marxen
DE-MUS-348916	Mühlenmuseum_Moisburg
DE-MUS-349013	Kloster_Mariensee
DE-MUS-351115	Ostfriesisches_Schulmuseum_Folmhusen
DE-MUS-351813	Fischer-_und_Webermuseum_Steinhude
DE-MUS-352910	Schulmuseum_Bochum
DE-MUS-353111	Schumannhaus
DE-MUS-354010	Museumslandschaft_Deilbachtal
DE-MUS-356110	Hiltruper_Museum
DE-MUS-356912	Wipperkotten
DE-MUS-357519	Besucherbergwerk_Schmittenstollen
DE-MUS-358012	Burg_Lahneck
DE-MUS-358616	Arp_Museum
DE-MUS-359015	Burg_Eltz
DE-MUS-360010	Museum_für_Moderne_Kunst
DE-MUS-362214	Hallertauer_Hopfen-_und_Heimatmuseum
DE-MUS-364012	Kunstsammlung_des_Herzoglichen_Georgianums
DE-MUS-369111	Zollmuseum
DE-MUS-369413	Deutsches_Hopfenmuseum
DE-MUS-370210	Kloster_Ebstorf
DE-MUS-371015	Römerhaus
DE-MUS-371213	Stadtmauermuseum
DE-MUS-376218	Deutsches_Auswandererhaus
DE-MUS-376312	Naturzentrum_Eifel
DE-MUS-377711	Heimatmuseum_Radevormwald
DE-MUS-377815	Deutsches_Tanzarchiv_Köln
DE-MUS-378412	Bandwebermuseum
DE-MUS-378714	Museum_Modern_Art_Hünfeld
DE-MUS-378912	Stadtmuseum_Werdohl
DE-MUS-379019	Heimathaus_Verl
DE-MUS-380316	Otto-Dix-Haus
DE-MUS-382812	Kreisheimatstube_Stoffenried
DE-MUS-383919	Römermuseum_Multerer
DE-MUS-384214	Sparkassen-Museum
DE-MUS-384912	Schatzkammer
DE-MUS-385217	Kallmann-Museum
DE-MUS-385519	Alpenländische_Galerie
DE-MUS-386012	Kelten_Römer_Museum
DE-MUS-386116	Künstlerhaus_Marktoberdorf
DE-MUS-387317	Hammerschmiede_Naichen
DE-MUS-387619	Rieskrater-Museum
DE-MUS-391915	Freilandmuseum
DE-MUS-392116	Internationales_Keramik-Museum
DE-MUS-393213	Schwules_Museum
DE-MUS-393411	Heine-Haus
DE-MUS-397611	Schloss_Agathenburg
DE-MUS-399711	Kloster_Walsrode
DE-MUS-399815	Burg_Neuhaus
DE-MUS-400811	Kölner_Karnevalsmuseum
DE-MUS-401116	Praetorium
DE-MUS-401314	NS-Dokumentationszentrum_der_Stadt_Köln
DE-MUS-401418	Weserrenaissance-Museum
DE-MUS-403018	Industriemuseum_Elmshorn
DE-MUS-405212	Rheinisches_Malermuseum
DE-MUS-405316	Papiermuseum_Düren
DE-MUS-405514	Heimatmuseum_Linnich
DE-MUS-405618	Heimatmuseum_Merzenich
DE-MUS-405816	Tuchmuseum_Lennep
DE-MUS-412715	Museum_zur_Geschichte_der_Juden_in_Kreis_und_Stadt_Heilbronn
DE-MUS-413416	Deutsches_Harmonikamuseum
DE-MUS-414117	Studentenkarzer
DE-MUS-414919	Museum_für_Konkrete_Kunst
DE-MUS-415516	Kunsthalle_Schweinfurt
DE-MUS-417512	August_Macke_Haus
DE-MUS-417814	Museum_für_Kindheits-_und_Jugendwerke_bedeutender_Künstler
DE-MUS-417918	Aquarius_Wassermuseum
DE-MUS-418411	Stadtmuseum_Bocholt
DE-MUS-418911	Industriemuseum_Chemnitz
DE-MUS-419914	Landschaftsmuseum_Angeln
DE-MUS-420315	Industriemuseum_Geschichtswerkstatt_Herrenwyk
DE-MUS-421610	Jüdisches_Museum_Westfalen
DE-MUS-422519	Naturmuseum_Lüneburg
DE-MUS-424713	Muschelmuseum
DE-MUS-426417	Kloster_Chorin
DE-MUS-427712	Templerhaus
DE-MUS-429114	Topographie_des_Terrors
DE-MUS-429218	Haus_der_Wannsee-Konferenz
DE-MUS-429614	Schloss_Freienwalde
DE-MUS-430119	Hamburger_Schulmuseum
DE-MUS-431018	19-Lachter-Stollen
DE-MUS-432313	Stadtmuseum_Euskirchen
DE-MUS-432511	Filmmuseum_Düsseldorf
DE-MUS-432917	Museum_Europäische_Kunst
DE-MUS-434319	Deutsches_Film-_und_Fototechnik_Museum
DE-MUS-434819	Deutsches_Kartoffelmuseum
DE-MUS-437412	Westpfälzer_Musikantenmuseum_Mackenbach
DE-MUS-441812	Buddenbrookhaus
DE-MUS-444613	Leonhardi-Museum
DE-MUS-446411	Stadtmuseum_Lennestadt
DE-MUS-447716	Keramik-Museum_Berlin
DE-MUS-448313	Schachmuseum_Ströbeck
DE-MUS-449118	Euthanasie-Gedenkstätte
DE-MUS-449316	Technikmuseum_Magdeburg
DE-MUS-449514	Grube_Glasebach
DE-MUS-449618	Domschatz_Quedlinburg
DE-MUS-450915	Sumelocenna_-_Römisches_Stadtmuseum
DE-MUS-453810	Ofen-_und_Keramikmuseum_Velten
DE-MUS-454219	Overbeck-Museum
DE-MUS-457718	Kunstmuseum_Wolfsburg
DE-MUS-461212	Brauerei_Schmitt
DE-MUS-461618	Neue_Mühle
DE-MUS-463416	Deutsches_Drahtmuseum
DE-MUS-468411	Pompejanum
DE-MUS-468515	Architekturmuseum_Schwaben
DE-MUS-469914	Hans-Eisenmann-Haus
DE-MUS-470513	Historischer_Hafen_Berlin
DE-MUS-474515	Blankschmiede_Neimke
DE-MUS-475112	Burg_Hagen
DE-MUS-475216	Naturkundliches_Museum
DE-MUS-478319	Haus_Ruhrnatur
DE-MUS-482219	Volkskunde_Museum_Schleswig
DE-MUS-484715	Berta-Hummel-Museum
DE-MUS-485312	Zollmuseum_Habkirchen
DE-MUS-486617	Museum_für_Naturkunde_Magdeburg
DE-MUS-487110	Kloster_Hadmersleben
DE-MUS-487516	Nietzsche-Haus
DE-MUS-488519	Museum_für_Bodenschätzung
DE-MUS-492013	Afrika-Haus_Freiberg
DE-MUS-492315	Museum_Villa_Rot
DE-MUS-493818	Museum_Kulturgeschichte_der_Hand
DE-MUS-493912	kunsthaus_kaufbeuren
DE-MUS-494811	Museum_Baruther_Glashütte
DE-MUS-495512	Ziegeleipark_Mildenberg
DE-MUS-496411	Museum_Baden
DE-MUS-496515	Museum_Zinkhütter_Hof
DE-MUS-496713	Heinz_Nixdorf_Museumsforum
DE-MUS-496911	Museum_für_Gedankenloses
DE-MUS-628519	Stadtgalerie_Kiel
DE-MUS-652111	Haus_der_Begegnung
DE-MUS-653614	Kleinstes_Haus
DE-MUS-656717	Kunstbau
DE-MUS-704212	Bajuwarenhof_Kirchheim
DE-MUS-704514	Bier-_und_Oktoberfestmuseum
DE-MUS-705611	Kunststiftung_Poll
DE-MUS-706010	Liebermann-Villa
DE-MUS-706218	The_Kennedys
DE-MUS-706312	DDR_Museum_Berlin
DE-MUS-706614	Dokumentationsstätte_Gefangenenhaus_Ostertorwache
DE-MUS-706718	Antikenmuseum_im_Schnoor
DE-MUS-708318	Leder-_und_Gerbermuseum
DE-MUS-708516	Maschinenhalle_Zweckel
DE-MUS-709415	Archäologiepark_Belginum
DE-MUS-709811	DB_Museum_Koblenz
DE-MUS-709915	Herbert-Gerisch-Stiftung
DE-MUS-711611	Künstlermuseum_Heikendorf
DE-MUS-712916	Zeitgeschichtliches_Forum_Leipzig
DE-MUS-713513	Donauschwäbisches_Zentralmuseum
DE-MUS-713617	Dokumentation_Obersalzberg
DE-MUS-714318	Hafenmuseum
DE-MUS-715613	Internationales_Feuerwehrmuseum_Schwerin
DE-MUS-717515	Rickmer_Rickmers
DE-MUS-718018	Archäologischer_Park_Ostkastell
DE-MUS-718518	Horst-Janssen-Museum
DE-MUS-721415	Pforzheim_Galerie
DE-MUS-722814	Bonbon-Museum
DE-MUS-723213	Museum_der_50er_Jahre
DE-MUS-724216	Kloster_Wennigsen
DE-MUS-730810	Elstermühle_Plessa
DE-MUS-735617	Hexenturm
DE-MUS-736714	Daimler_Contemporary
DE-MUS-736912	Erinnerungsstätte_Notaufnahmelager_Marienfelde
DE-MUS-737811	Mathematikum
DE-MUS-739119	Belvedere_auf_dem_Pfingstberg
DE-MUS-739911	Kunsthalle_Würth
DE-MUS-740510	Museum_für_Europäische_Gartenkunst
DE-MUS-741513	Museum_für_Westfälische_Literatur
DE-MUS-741815	Nibelungenmuseum
DE-MUS-742016	Alamannenmuseum_Ellwangen
DE-MUS-742714	Museumshafen_Flensburg
DE-MUS-743717	Deutsches_Baumschulmuseum
DE-MUS-744512	Haus_der_Seidenkultur
DE-MUS-749517	Kunstmuseum_Bayreuth
DE-MUS-750814	Pinakothek_der_Moderne
DE-MUS-751411	Müllner-Peter-Museum
DE-MUS-751515	Museum_Georg_Schäfer
DE-MUS-753917	Rookhus
DE-MUS-754410	Ernst-Bloch-Zentrum
DE-MUS-755017	Daetz-Centrum
DE-MUS-755413	Museum_für_Gegenwartskunst
DE-MUS-757211	Jahrtausendturm
DE-MUS-757419	Museum_am_Meer
DE-MUS-757513	Günter-Grass-Haus
DE-MUS-757815	Joachim-Ringelnatz-Museum
DE-MUS-759811	Alte_Mühle
DE-MUS-759915	Slawenburg_Raddusch
DE-MUS-760118	Allgäuer_Bergbauernmuseum
DE-MUS-761819	Diözesanmuseum_St._Afra
DE-MUS-767911	Kinder-_und_Jugendmuseum
DE-MUS-768112	Sammlung_Goetz
DE-MUS-770110	Urweltmuseum
DE-MUS-771613	Teichmühle
DE-MUS-771915	Katzenmuseum
DE-MUS-772710	Domschatz
DE-MUS-773619	Kutschenmuseum_Hinterstein
DE-MUS-774716	Theodor-Heuss-Haus
DE-MUS-775219	Römermuseum_Mengen-Ennetach
DE-MUS-775313	Energie-Museum_Berlin
DE-MUS-777319	Kunstmuseum_Walter
DE-MUS-777715	Museum_am_Dom
DE-MUS-777819	1._Deutsches_Polizeioldtimer-Museum
DE-MUS-778114	Erstes_Deutsches_Fliesenmuseum
DE-MUS-778312	Burg_Neustadt-Glewe
DE-MUS-779117	Bernsteinmuseum
DE-MUS-784312	Harry's_klingendes_Museum
DE-MUS-785211	Museum_Frieder_Burda
DE-MUS-785419	Bachritterburg_Kanzach
DE-MUS-785617	Wuseum
DE-MUS-788210	Langen_Foundation
DE-MUS-788710	Museum_für_Ur-_und_Frühgeschichte
DE-MUS-788814	Mainzer_Fastnachtsmuseum
DE-MUS-789411	Haus_der_Geschichte_Wittenberg
DE-MUS-790510	Eisenbahnmuseum_Bayerischer_Bahnhof_zu_Leipzig
DE-MUS-790718	Kleinbauernmuseum_Reitzendorf
DE-MUS-790916	Gedenkstätte_Ahrensbök
DE-MUS-791513	Georg-Lechner-Biermuseum
DE-MUS-793915	Freilicht-_und_Erlebnismuseum_Ostfalen
DE-MUS-795119	Garnisonmuseum_Ludwigsburg
DE-MUS-795317	Museum_Lothar_Fischer
DE-MUS-795411	Museum_Alexandrowka
DE-MUS-797417	1._Deutsches_Bratwurstmuseum
DE-MUS-798212	Literaturmuseum_der_Moderne
DE-MUS-799913	Erich_Kästner_Museum
DE-MUS-801214	Romanisches_Haus
DE-MUS-801714	Museum_Schloss_Bernburg
DE-MUS-802019	Herbergsmuseum
DE-MUS-802915	Stiftung_Bauhaus_Dessau
DE-MUS-804817	Museum_Heineanum
DE-MUS-805018	Museum_Haldensleben
DE-MUS-805216	Stadtmuseum_Halle
DE-MUS-805310	Landesmuseum_für_Vorgeschichte_Halle
DE-MUS-806511	Prignitz-Museum
DE-MUS-806719	Hüttenmuseum
DE-MUS-807316	Glockenmuseum
DE-MUS-808611	Kreismuseum_Osterburg
DE-MUS-809416	Barbarossahöhle
DE-MUS-809812	Spengler-Museum
DE-MUS-811018	Heinrich-Schütz-Haus
DE-MUS-813712	Museum_für_Naturkunde
DE-MUS-816211	Antikriegsmuseum
DE-MUS-817412	Mori-Ogai-Gedenkstätte
DE-MUS-820819	Bauernmuseum_Blankensee
DE-MUS-821614	Kunstmuseum_Dieselkraftwerk_Cottbus
DE-MUS-823016	Kleist-Museum
DE-MUS-824019	Bockwindmühle_Lebusa
DE-MUS-826317	Filmmuseum_Potsdam
DE-MUS-828313	Agrarhistorisches_Museum_Schlepzig
DE-MUS-829910	Agrarmuseum_Wandlitz
DE-MUS-831210	Otto-Lilienthal-Museum
DE-MUS-832119	Kreisheimatmuseum_Demmin
DE-MUS-833310	Pommersches_Landesmuseum_Greifswald
DE-MUS-834417	Freilichtmuseum_Klockenhagen
DE-MUS-835514	Regionalmuseum_Neubrandenburg
DE-MUS-835618	Kunstsammlung_Neubrandenburg
DE-MUS-836517	Fritz-Reuter-Literaturmuseum
DE-MUS-836611	Deutsches_Bernsteinmuseum
DE-MUS-836819	Kunsthalle_Rostock
DE-MUS-837510	Heimatmuseum_Warnemünde
DE-MUS-838117	Archäologisches_Landesmuseum
DE-MUS-838513	Schleifmühle_Schwerin
DE-MUS-840313	Museum_Wolgast
DE-MUS-842017	Sorbisches_Museum_Bautzen
DE-MUS-842111	Museum_Bautzen
DE-MUS-843312	Schlossbergmuseum
DE-MUS-844919	Militärhistorisches_Museum_der_Bundeswehr
DE-MUS-845016	Landesamt_für_Archäologie_mit_Landesmuseum_für_Vorgeschichte
DE-MUS-845214	Gedenkstätte_Münchner_Platz_Dresden
DE-MUS-846613	Deutsches_Hygiene-Museum
DE-MUS-846811	Senckenberg_Naturhistorische_Sammlungen_Dresden
DE-MUS-847012	Technische_Sammlungen_Dresden
DE-MUS-849810	Richard-Wagner-Museum_Graupa
DE-MUS-850513	Deutsches_Damast-_und_Frottiermuseum
DE-MUS-852019	Festung_Königstein
DE-MUS-852519	Vogtländisches_Freilichtmuseum_Landwüst
DE-MUS-853116	Museum_der_bildenden_Künste_Leipzig
DE-MUS-853418	Stadtgeschichtliches_Museum_Leipzig
DE-MUS-854317	Naturkundemuseum_Leipzig
DE-MUS-854411	Antikenmuseum_der_Universität_Leipzig
DE-MUS-854619	Burg_Mildenstein
DE-MUS-855414	Musikinstrumenten-Museum_Markneukirchen
DE-MUS-856219	Deutsche_Raumfahrtausstellung
DE-MUS-856615	Stadtmuseum_Mutzschen
DE-MUS-857118	Felsenburg_Neurathen
DE-MUS-857816	web_MUSEUM_OEDERAN
DE-MUS-859010	Vogtlandmuseum_Plauen
DE-MUS-860015	Karl-May-Museum_Radebeul
DE-MUS-862511	Erzgebirgisches_Spielzeugmuseum
DE-MUS-863118	Burg_Stolpen
DE-MUS-864215	Stadt-_und_Dampfmaschinenmuseum_Werdau
DE-MUS-864517	Heimatmuseum_der_Stadt_Wilsdruff
DE-MUS-865916	Lindenau-Museum_Altenburg
DE-MUS-867912	Dornburger_Schlösser
DE-MUS-868311	Lutherhaus_Eisenach
DE-MUS-869314	Burg_Gleichen
DE-MUS-869616	Museum_für_Thüringer_Volkskunde
DE-MUS-869710	Naturkundemuseum_Erfurt
DE-MUS-870413	Jagdhaus_Gabelbach
DE-MUS-870913	Stadtmuseum_Gera
DE-MUS-872617	Thüringer_Freilichtmuseum_Hohenfelden
DE-MUS-873912	Wasserburg_Kapellendorf
DE-MUS-874217	Museum_für_Glaskunst_Lauscha
DE-MUS-875512	Volkskundemuseum
DE-MUS-877414	Waffenmuseum_Suhl
DE-MUS-878719	Museum_für_Ur-_und_Frühgeschichte_Thüringens
DE-MUS-879118	Deutsches_Bienenmuseum
DE-MUS-879618	Kirms-Krackow-Haus
DE-MUS-883018	Burg_Kriebstein
DE-MUS-887010	Hans-Fallada-Haus
DE-MUS-887916	Schaubergwerk_Büchenberg
DE-MUS-889016	Hüttenmuseum_Thale
DE-MUS-889714	Universitätsmuseum
DE-MUS-890115	Museum_im_Steintor
DE-MUS-891910	Museumspark_Rüdersdorf
DE-MUS-892611	Grünauer_Wassersportmuseum
DE-MUS-893218	Stadtmuseum_Teterow
DE-MUS-902812	Brandenburgisches_Apothekenmuseum
DE-MUS-903617	Schlesisches_Museum_zu_Görlitz
DE-MUS-905915	Hanfmuseum
DE-MUS-906418	Deutsches_Museum_Bonn
DE-MUS-907411	Bauspar-Museum
DE-MUS-910412	Graevenitz-Museum
DE-MUS-911113	Computerspiele_Museum
DE-MUS-912512	Meerrettich-Museum
DE-MUS-915115	Dokumentationszentrum_Reichsparteitagsgelände
DE-MUS-916910	MACHmit!_Museum_für_Kinder
DE-MUS-917819	Deutsches_Schweinemuseum
DE-MUS-917913	Tischlereimuseum
DE-MUS-918010	Speicherstadtmuseum
DE-MUS-918812	Museum_für_Antike_Schiffahrt
DE-MUS-919211	Deutsches_Kleingärtnermuseum
DE-MUS-920518	Landesarchiv_Schleswig-Holstein
DE-MUS-921313	Dorfmuseum_Gahlenz
DE-MUS-923215	Militärmuseum
DE-MUS-925117	Museumsbahn_Bremerhaven-Bederkesa
DE-MUS-925919	Blindenmuseum_Hannover
DE-MUS-926110	Archäologisches_Zentrum_Hitzacker
DE-MUS-926610	Ausstellungszentrum_für_die_Archäologie_des_Emslandes
DE-MUS-927217	Museum_im_Zeughaus
DE-MUS-928814	Indianermuseum_Bretten
DE-MUS-930510	Wiesentäler_Textilmuseum
DE-MUS-931815	Deutsches_Schuhmuseum
DE-MUS-937917	Burg_Pyrmont
DE-MUS-941619	Burg_Reichenstein
DE-MUS-943615	Archäologisches_Museum_Essenbach
DE-MUS-943813	Furthmühle
DE-MUS-944014	Jüdisches_Museum_Franken
DE-MUS-945413	Skulpturenmuseum_im_Hofberg
DE-MUS-946312	Römerkastell_Abusina
DE-MUS-949717	Dorfschule
DE-MUS-950816	Rungehaus_Wolgast
DE-MUS-951319	Drandorfhof
DE-MUS-953211	Spargelmuseum
DE-MUS-953513	Gotisches_Haus
DE-MUS-954516	Weberhaus
DE-MUS-955217	Marie-Hager-Haus
DE-MUS-956012	Mecklenburgisches_Orgelmuseum
DE-MUS-956314	Fischerstube
DE-MUS-956616	Bildhauermuseum_Prof._Wandschneider
DE-MUS-958914	Museum_der_Strohverarbeitung
DE-MUS-959011	Technisches_Museum
DE-MUS-960412	Fahrzeugmuseum_Frankenberg
DE-MUS-961019	Erzgebirgische_Volkskunst
DE-MUS-962616	Glashüttenmuseum_des_Erzgebirges
DE-MUS-964810	Museum_für_russlanddeutsche_Kulturgeschichte
DE-MUS-967319	Sandsteinmuseum_Bad_Bentheim
DE-MUS-973611	Museum_am_Stadtsee
DE-MUS-973913	Erdöl-Erdgas-Museum_Twist
DE-MUS-974218	Torf-_und_Siedlungsmuseum
DE-MUS-975919	Jüdisches_Museum_Berlin
DE-MUS-976016	Marinemuseum_Dänholm
DE-MUS-977613	Ebinger_Heimatmuseum
DE-MUS-980614	Carl_Bosch_Museum_Heidelberg
DE-MUS-982412	KZ-Gedenkstätte_Neckarelz
