AD-SaUDA	Universitat_d'Andorra
DE-32	Herzogin_Anna_Amalia_Bibliothek
DE-34	Universitätsbibliothek_Kassel_–_Landesbibliothek_und_Murhardsche_Bibliothek_der_Stadt_Kassel
DE-355	Universitätsbibliothek_Regensburg
DE-361	Universitätsbibliothek_Bielefeld
DE-367	Bibliothek_Witten
DE-371	Stadtbibliothek_Gütersloh
DE-37	Staats-_und_Stadtbibliothek_Augsburg
DE-380	Stadtbibliothek_Köln
DE-384	Universitätsbibliothek_Augsburg
DE-38M	Deutsche_Zentralbibliothek_für_Medizin
DE-393	Stadtbücherei_Jülich
DE-425	Stadtbücherei_Werne
DE-430	Stadtbibliothek_Dormagen
DE-43	Landesbibliothek_Wiesbaden
DE-447	Stadtbücherei_Münster
DE-45	Landesbibliothek_Oldenburg
DE-462	Stadtbibliothek_Baden-Baden
DE-466	Universitätsbibliothek_Paderborn
DE-467	Universitätsbibliothek_Siegen
DE-46a	Staats-_und_Universitätsbibliothek_Bremen
DE-46	Staats-_und_Universitätsbibliothek_Bremen
DE-478	Stadtbibliothek_Bremen
DE-480	Stadtbibliothek_Stuttgart
DE-480	Stadtbücherei_Stuttgart
DE-48	Bibliothek_der_Hansestadt_Lübeck
DE-48	Stadtbibliothek_(Lübeck)
DE-517	Universitätsbibliothek_Potsdam
DE-52	Stadtbibliothek_Aachen
DE-547	Universitäts-_und_Forschungsbibliothek_Erfurt/Gotha
DE-54	Provinzialbibliothek_Amberg
DE-56	Stadtbibliothek_Braunschweig
DE-583	SRH_Fachhochschule_Hamm
DE-588a	Personennamendatei
DE-588	Gemeinsame_Normdatei
DE-58	Fürstlich_Schaumburg-Lippische_Hofbibliothek
DE-59	Stadtbibliothek_Chemnitz
DE-5	Universitäts-_und_Landesbibliothek_Bonn
DE-602	Kooperativer_Bibliotheksverbund_Berlin-Brandenburg
DE-606	Elektronische_Zeitschriftenbibliothek
DE-60	Stadt-_und_Landesbibliothek_Dortmund
DE-61	Universitäts-_und_Landesbibliothek_Düsseldorf
DE-62	Stadtbibliothek_Wuppertal
DE-6-335	Zentrum_für_Lehrerbildung
DE-63	Stadt-_und_Regionalbibliothek_Erfurt
DE-68	Schleswig-Holsteinische_Landesbibliothek
DE-69	Stadtbibliothek_Koblenz
DE-6	Universitäts-_und_Landesbibliothek_Münster
DE-703	Universitätsbibliothek_Bayreuth
DE-705	Universitätsbibliothek_der_Helmut-Schmidt-Universität
DE-70	Landesbibliothek_Coburg
